driver,radio_message,sentiment
1,"So don't forget Max, use your head please. Are we both doing it or what? You just follow my instruction. No, I want to know if both cars do it. Max, please follow my instruction and trust it. Thank you.",
1,"Okay Max, we're expecting rain in about 9 or 10 minutes. What are your thoughts? That you can get there or should we box? We'd need to box this lap to cover Leclerc. I can't see the weather, can I? I don't know.",
1,You might find this lap that you meet a little bit more water.,
1,Just another two or three minutes to get through this.,
1,So settle into standard race management now Max.,
1,Use a lot of attire on an Outland Max. Not sure that was sensible.,
1,This time I had reasonable deg in the first stint. I'd ask you to use your head a bit more.,
1,"I can also push on if we do another stop, a little bit of mid-stop training. No, not this time.",
1,"How was the deg max? No, it's not okay Anderson",
1,"It's so windy, I'm so hopeful to feel really tight. Yeah, Roger that.",
1,"Max, we've currently got yellows in turn 7. Ferrari in the wall, no? Yes, that's Charles stopped. We are expecting the potential of an aborted start, but just keep to your protocol at the moment.",
1,Let's have a balance update Max. High speed diff setting. All good. Everything feels quite nice.,
1,I'm just picking up.,
1,"Sitting in dirty air hurts my lifetime quite a bit, just for your information. Okay, copy that. Thank you.",
1,Norris likely to one stop from here. How far is he ahead? 12 seconds.,
1,"I made a Thomas and Drive on out of the chicanes. Understood Max. If we pit now, we fall behind Fernando. I'm sure you understand the situation.",
1,"I'm not sure how long I can keep this up though. Understood, Max, so just keep us informed.",
1,Another four or five laps max and we could pit ahead of that train of blue flags.,
1,There are some pockets of rain a few kilometres away from the track we're monitoring.,
1,Maybe drop some rain around turn 6 to turn 8.,
1,"Ready. Okay, you let me know if you need to box to stay on the track, Max. It's as simple as that.",
1,"I have to join the Slums because my tyres are f***ed. Understood Max. It might just be survival in that section of track, Max, if the rest of the track is dry.",
1,"Alonso has pitted for dry tyres. Understood, Max. We need enters. Understood, Max. We are pitting for enters.",
1,So let me know if you're ready for extremes at any point. I'll wait for your call.,
1,"Do you see anything other than an Inter in these next nine laps? No, no. Understood. Thank you.",
1,"I clipped them all a little bit with the right rear to check my shoes Okay, we'll have a look",
1,"We are catching the guys in front, okay? Okay, two laps remaining.",
1,How far is it behind?,
1,"Norris may be happy to sit behind you Max, just don't take any risks.",
1,"Fernando is bringing it home, 27.2. You are the race leader, you have nothing to prove. Let Norris through please man.",
1,"No, front left really isn't ready Understood",
1,"We're gonna lose a lot of time in this traffic I think. Yep, understood.",
1,"Radio check. Yeah, radio check. Okay, radio good. Focus on balance.",
1,"So we are expecting rain around 10 laps from the end max, some of which could be pretty heavy.",
1,"Is it gonna be like extreme tyre or Inter? Difficult to say at the moment, I guess.",
1,"We'll box this lap. No, no, it's still dry here. Wait a second.",
1,I think this would be a very good time to pit. OK.,
1,"Radio check. Loud and clear, Max. So that's three and a half minutes until the race resumes for you. In one and a half minutes, the lapped cars will leave the pit lane, will then move you back into the fast lane once they've all left the pit lane, and you will then follow the safety car out eventually. I can confirm it is a rolling start procedure, that the safety car will stay out for two laps. Two laps. That would leave six racing laps. Fall 연ossible Base High Slings Longer Base High Slings Piece Forkins Money Power",
1,"And during this first lap behind the Safety CarMax, I could ask you to use all gears just to make sure we retain sync, if you can.",
1,"In terms of weather update, maybe some light rain expected in 6-7 minutes, Max. It is only light.",
