iter	PRAUC	Logloss
0	0.847431585	0.6686945487
1	0.8592108976	0.6464886553
2	0.8640728828	0.6279016788
3	0.8645263409	0.6107862697
4	0.8676487674	0.5948940984
5	0.8689935334	0.5815500481
6	0.8725259988	0.5684399578
7	0.873097517	0.5568748119
8	0.87471644	0.5458463209
9	0.8761540288	0.5365750687
10	0.8768762281	0.5275133436
11	0.878128789	0.5197985067
12	0.8783451371	0.5123845972
13	0.8786209407	0.5065614
14	0.8786504485	0.5014442424
15	0.8794396754	0.4969287257
16	0.8795958575	0.4927478171
17	0.8796372281	0.4887378679
18	0.8797819702	0.4847591921
19	0.8807224091	0.4815851968
20	0.881627331	0.4777060279
21	0.8818421876	0.4750773697
22	0.8817760933	0.4727875323
23	0.8821165048	0.4699331381
24	0.8829211347	0.4669216708
25	0.8835916021	0.4643542685
26	0.8838668981	0.4625775345
27	0.8840476166	0.4609626621
28	0.8848088419	0.4583509664
29	0.8849593246	0.4569826583
30	0.8853470021	0.4552321044
31	0.8855632314	0.4538189513
32	0.8862740905	0.4518430542
33	0.8869215131	0.4501275199
34	0.8871844426	0.448740397
35	0.8874742808	0.4477081056
36	0.8880946944	0.445974088
37	0.8885356434	0.4440773832
38	0.888482232	0.4435579758
39	0.888444553	0.4431205085
40	0.8887090414	0.4420879977
41	0.888667493	0.441837331
42	0.8888508832	0.4410769655
43	0.8892376381	0.4399340184
44	0.8898376537	0.4379395827
45	0.8899956113	0.4373317068
46	0.8901363464	0.436739874
47	0.8906039079	0.4354980018
48	0.8907915658	0.4349555191
49	0.8909599703	0.4341076734
50	0.8911632611	0.4335756486
51	0.891710118	0.4323798926
52	0.8919282646	0.4318503789
53	0.8922698211	0.4310875003
54	0.8925591598	0.4302340638
55	0.8929664335	0.4288082036
56	0.8933957911	0.4278440137
57	0.8935222182	0.4270553443
58	0.8938672524	0.4262755762
59	0.8939045873	0.4259199726
60	0.8939980109	0.425485001
61	0.8942982677	0.4248031984
62	0.8944940956	0.4242374613
63	0.894833609	0.4232583898
64	0.8949183454	0.4229974075
65	0.8950892546	0.4225376495
66	0.8952223788	0.4222465127
67	0.895553644	0.4215196297
68	0.8958988236	0.4208489969
69	0.896109007	0.4203915712
70	0.8962597781	0.4200973772
71	0.8965466289	0.4195650091
72	0.8968833439	0.4188711349
73	0.8970321372	0.4184557031
74	0.8972153099	0.4178766483
75	0.8975366692	0.417269065
76	0.8977081631	0.4167699409
77	0.8979111784	0.4162600296
78	0.8979514761	0.4161584721
79	0.8981094335	0.4157343204
80	0.8983562978	0.4148906012
81	0.8985003789	0.414494134
82	0.8987948764	0.4137460885
83	0.8987813881	0.4136838473
84	0.8989132152	0.4133228394
85	0.8989913582	0.4129736062
86	0.8990483446	0.412879202
87	0.8992442004	0.4125662121
88	0.8994283429	0.4120387577
89	0.8995876909	0.4117486515
90	0.8997856489	0.4113574756
91	0.8998735326	0.4111024185
92	0.9000904424	0.4106184984
93	0.9002416218	0.4102027231
94	0.9003681012	0.409900134
95	0.900656215	0.4093273344
96	0.9007393237	0.4090935561
97	0.9011431558	0.4084032867
98	0.9013592693	0.4079084668
99	0.9014078919	0.4077351562
100	0.90168235	0.4069836648
101	0.901931189	0.4066524018
102	0.9021117214	0.4061646407
103	0.9022808439	0.4056147509
104	0.9024952544	0.4050329496
105	0.9027429501	0.4042388178
106	0.9030048258	0.4036493003
107	0.9031295719	0.4033821795
108	0.9034975337	0.4025746158
109	0.903699136	0.4022508585
110	0.903834783	0.4019365366
111	0.9039665066	0.401673428
112	0.9040717632	0.4014395323
113	0.9041450737	0.4012851217
114	0.9043743066	0.4007309492
115	0.9044354004	0.4006044052
116	0.9045125211	0.4004024895
117	0.9046129587	0.4000781948
118	0.9047811915	0.3995671164
119	0.9048654825	0.3993842033
120	0.9052031795	0.3988554836
121	0.9054859684	0.3980235286
122	0.9055528035	0.3979050919
123	0.9057299216	0.3975956411
124	0.9060085367	0.3970368461
125	0.9060164932	0.3969811509
126	0.9061376251	0.3966852059
127	0.9064370962	0.3961138219
128	0.9064451585	0.3960484941
129	0.9065236429	0.3959159563
130	0.9067302636	0.3954217341
131	0.9068192252	0.3952134278
132	0.9069670886	0.3948862845
133	0.9070583066	0.3946387969
134	0.9071514893	0.3943406638
135	0.9073875042	0.3938831391
136	0.9075389326	0.393591441
137	0.9077211652	0.3930423204
138	0.907885759	0.3926002192
139	0.9081778073	0.3920415068
140	0.9084606266	0.3910885043
141	0.9085109984	0.3909155278
142	0.9086169162	0.3906852875
143	0.9086474486	0.3906172099
144	0.9087098141	0.3904921166
145	0.9088122679	0.390290183
146	0.9091354432	0.3894817812
147	0.9092295534	0.3892638291
148	0.9092730075	0.3890833997
149	0.9092764489	0.3890451096
150	0.9094833229	0.3885542106
151	0.9096322139	0.3882818397
152	0.9096441881	0.388254788
153	0.9098277811	0.3877499863
154	0.9099080078	0.387577801
155	0.9099447858	0.3875058245
156	0.9099668163	0.3874962156
157	0.9100829065	0.3872567243
158	0.9101673629	0.3870459012
159	0.9103669703	0.3865459229
160	0.9104241807	0.3864344008
161	0.9106161055	0.386036752
162	0.9107500615	0.3858187054
163	0.9108998604	0.3855191593
164	0.9111456831	0.3848752379
165	0.9111675781	0.3848204687
166	0.9111708621	0.3848063886
167	0.9112002352	0.3847655416
168	0.9112168879	0.3846833766
169	0.9112424595	0.3846081789
170	0.9115390995	0.3839896825
171	0.9117680763	0.3835595056
172	0.9119531769	0.3831172703
173	0.912087388	0.3828636302
174	0.9121857673	0.3825384752
175	0.9122504454	0.3824508734
176	0.9124170151	0.3821551474
177	0.9126808736	0.381681544
178	0.9128319556	0.3814018166
179	0.9130452646	0.3807361732
180	0.9131345951	0.3805336348
181	0.9132994594	0.380132901
182	0.913668892	0.3793635146
183	0.9140415922	0.3783906205
184	0.9141906183	0.3781373799
185	0.9144308481	0.3775149183
186	0.9146149741	0.3771479124
187	0.9148009336	0.3767850115
188	0.9150385314	0.3762915861
189	0.9151954692	0.3760091258
190	0.9153322802	0.3756228729
191	0.9155269933	0.3751048476
192	0.9156391539	0.374872135
193	0.9158912625	0.3742334352
194	0.9160370178	0.3738703359
195	0.9163633711	0.3732835051
196	0.9166144424	0.3727883879
197	0.9167671295	0.3724509571
198	0.9169164538	0.3721691041
199	0.9172152183	0.3715848245
200	0.9172893626	0.3714677681
201	0.917608125	0.3705376212
202	0.9177882976	0.3701271654
203	0.9180097119	0.3695602881
204	0.9181384278	0.3693562678
205	0.9182606226	0.3689920944
206	0.9185478641	0.3682911594
207	0.9186868121	0.368026651
208	0.918801948	0.3677783627
209	0.9189820661	0.3673213586
210	0.9192354431	0.3668706022
211	0.9195202389	0.3662046522
212	0.919697795	0.365754862
213	0.9199149369	0.3651559522
214	0.9201435596	0.3647180724
215	0.9203805602	0.3642568048
216	0.920500649	0.3639457378
217	0.9206736598	0.3634447872
218	0.9209204556	0.3629033564
219	0.9210820738	0.3623970646
220	0.9213687217	0.3617162967
221	0.9215667641	0.361343327
222	0.9217961507	0.3608535095
223	0.922074337	0.3601198172
224	0.9222404045	0.3597072579
225	0.9224432791	0.3592527023
226	0.9226008826	0.3585770839
227	0.9228089354	0.358144337
228	0.9229893546	0.3576588743
229	0.9232251045	0.3570732573
230	0.9234146101	0.3565911803
231	0.9236093486	0.3560472957
232	0.9238253428	0.3554398694
233	0.9240021423	0.3551465798
234	0.9242586823	0.3545259699
235	0.9243828158	0.3542072122
236	0.9246428817	0.3536404716
237	0.9248169636	0.3532299872
238	0.9251180653	0.3522227399
239	0.9254487904	0.3516464899
240	0.9256660733	0.3512206472
241	0.9259062627	0.3507436467
242	0.9262362429	0.3500685416
243	0.9265203956	0.3494743116
244	0.9266622434	0.349213463
245	0.9268647044	0.3485440856
246	0.9269802263	0.3483000036
247	0.927101359	0.3478867733
248	0.927325869	0.347471435
249	0.9275564784	0.3468258884
250	0.9277993426	0.3463148309
251	0.927947994	0.3459528863
252	0.9281197128	0.3452769488
253	0.9282870877	0.344852789
254	0.9284861318	0.3443971049
255	0.9287640913	0.3436693187
256	0.9289556975	0.3432057895
257	0.9292126243	0.342721097
258	0.9293163231	0.3424392117
259	0.9295451235	0.3418945836
260	0.9296857862	0.3415291164
261	0.9298500377	0.341084321
262	0.929970063	0.3406817167
263	0.9300101402	0.3406042333
264	0.9302164312	0.3399106142
265	0.930366664	0.3394764147
266	0.9305502574	0.338979686
267	0.9307871008	0.338499162
268	0.9309418666	0.3379801264
269	0.9310690688	0.3376230356
270	0.9312696288	0.3370806394
271	0.9314648537	0.3366288744
272	0.931684419	0.3360748676
273	0.9318041387	0.3357610339
274	0.9319310179	0.3355140012
275	0.932177361	0.3350420839
276	0.9323925367	0.3345629088
277	0.9325868751	0.3342440311
278	0.932895558	0.3335979403
279	0.9330677929	0.3332281123
280	0.9331791639	0.3328649666
281	0.9333827865	0.3324399924
282	0.9336295336	0.3319447617
283	0.9337864528	0.3315283904
284	0.9339013929	0.3311589389
285	0.9340342002	0.3307207476
286	0.9341723702	0.330319065
287	0.9343624621	0.3297112981
288	0.9345696293	0.3292775647
289	0.9347193992	0.3289421201
290	0.9350431728	0.3282025141
291	0.9352692142	0.3275269904
292	0.9354794612	0.3270267344
293	0.9356830016	0.3266564475
294	0.9359035869	0.326071622
295	0.9361391142	0.3255569009
296	0.9362778009	0.3252432078
297	0.9364930607	0.3246230473
298	0.9367648426	0.3241033551
299	0.9368907287	0.3237898976
300	0.9371144954	0.3231267203
301	0.937267296	0.3226806665
302	0.9375379922	0.3220442999
303	0.9377524245	0.321577209
304	0.9378604229	0.321246971
305	0.9381412714	0.320492532
306	0.9383350512	0.3199635009
307	0.9384439093	0.3195760645
308	0.9385717873	0.3192956288
309	0.9387838675	0.3188481385
310	0.9389670226	0.318290348
311	0.9390822633	0.3179815778
312	0.9392804664	0.3175517358
313	0.9394336199	0.3169248333
314	0.9396654084	0.3164973813
315	0.9398858143	0.3160633922
316	0.94003408	0.3156331919
317	0.9400804105	0.3155222972
318	0.940368357	0.3149580708
319	0.9404376256	0.3148037553
320	0.9405669179	0.3144910367
321	0.9407338059	0.3141161199
322	0.9408782552	0.3137517356
323	0.9410481596	0.3132145963
324	0.9412119501	0.3127694577
325	0.9413757366	0.3124618662
326	0.9415246073	0.3121273117
327	0.9416130218	0.3118984062
328	0.9418514605	0.3114522008
329	0.9419296847	0.3112493308
330	0.9421733819	0.3106507539
331	0.9422517303	0.3104623318
332	0.9425106973	0.3098466558
333	0.9426552041	0.3095710789
334	0.9428003463	0.309204539
335	0.942979551	0.3087958914
336	0.9431398803	0.3083861242
337	0.9433749799	0.3078429992
338	0.9434732842	0.3075913262
339	0.9436535517	0.3071939002
340	0.9437123733	0.307076198
341	0.9438445296	0.3067342844
342	0.9440788183	0.3060615323
343	0.9442495708	0.305598193
344	0.9444202274	0.3052359065
345	0.9445683813	0.3049529918
346	0.9447748551	0.3045343323
347	0.9448797666	0.3041811413
348	0.9449716653	0.3039659986
349	0.9450761496	0.3036472585
350	0.945192153	0.3033780979
351	0.9452883514	0.3031903617
352	0.9454097456	0.302835488
353	0.9454852423	0.3026149604
354	0.9456852649	0.3019555231
355	0.9458159721	0.3017388435
356	0.9459479167	0.3014530598
357	0.9460974916	0.3011378084
358	0.9462987984	0.300703908
359	0.9464075851	0.3004152485
360	0.9465557756	0.3001722104
361	0.9467136309	0.299832771
362	0.9468393576	0.2995474236
363	0.9469760203	0.2992312658
364	0.94719705	0.2987460742
365	0.9472893519	0.2985012551
366	0.9474360398	0.2981928424
367	0.9475106061	0.297909978
368	0.9475403508	0.2978293923
369	0.9476919829	0.2975381643
370	0.9477767804	0.2971515042
371	0.9478529949	0.2968766889
372	0.9480193979	0.2963594284
373	0.9480701847	0.2962064059
374	0.9483198429	0.2956856108
375	0.9484409329	0.2954065934
376	0.9487288804	0.294904975
377	0.9488992611	0.2944429161
378	0.9489998736	0.2941577404
379	0.949176324	0.2937073114
380	0.9492712693	0.2933414082
381	0.949447105	0.2929167089
382	0.9496227027	0.292652547
383	0.9497480968	0.2923358964
384	0.9497999596	0.2921957223
385	0.9499686497	0.291795509
386	0.9500319245	0.2916222951
387	0.9501040373	0.2914078147
388	0.9502796437	0.2909423287
389	0.950478062	0.2903445642
390	0.9506065131	0.289964573
391	0.9507632138	0.2896089155
392	0.9508928352	0.2893288729
393	0.951065486	0.2889356559
394	0.9512487017	0.288346559
395	0.9513322531	0.2880597388
396	0.9514542995	0.2877901684
397	0.9515420739	0.2874986766
398	0.9516424579	0.2872709761
399	0.9516619316	0.2871769326
400	0.9517636403	0.2868168434
401	0.9518379981	0.2865151743
402	0.9518750044	0.2864006683
403	0.9520166974	0.286072372
404	0.9521235409	0.2857617496
405	0.9521996951	0.2855163206
406	0.9523670987	0.2851151551
407	0.9525912616	0.2845816031
408	0.9527196521	0.2842504337
409	0.9527946399	0.2840337502
410	0.9528766424	0.2837527286
411	0.9529547739	0.2835503984
412	0.9531578213	0.2830990715
413	0.9532517077	0.2828641453
414	0.9532871346	0.2827697171
415	0.953377673	0.2825454973
416	0.953528423	0.2821731887
417	0.9536786399	0.2815546609
418	0.9538111213	0.2812538934
419	0.95392606	0.2809245674
420	0.9541069162	0.2804934969
421	0.9542714868	0.2800824855
422	0.9543782965	0.2798397303
423	0.9544597253	0.279581666
424	0.9545099426	0.2794632603
425	0.9546693107	0.2791922396
426	0.954806819	0.2788881757
427	0.954826482	0.2788067347
428	0.9549732234	0.2783807436
429	0.9550623377	0.278114981
430	0.9551730836	0.2778249868
431	0.955238139	0.2776326453
432	0.9553374169	0.2773144874
433	0.9553880203	0.2771521337
434	0.9555010589	0.2767806173
435	0.9556425385	0.2762953991
436	0.9557740487	0.2759330893
437	0.9558630849	0.2756714638
438	0.9558969409	0.2755328013
439	0.9559677858	0.2752278635
440	0.9560661799	0.2750397441
441	0.9561245062	0.2748765878
442	0.9562251078	0.2746098851
443	0.9563550717	0.2743503067
444	0.9565267623	0.2739195247
445	0.9566465268	0.2733986264
446	0.9567401977	0.2731204357
447	0.9568021083	0.2729400207
448	0.9569110865	0.2725900329
449	0.9570828214	0.2721865598
450	0.957145804	0.2719293258
451	0.9572543237	0.2715218245
452	0.9573289256	0.2713491246
453	0.95739943	0.2710385122
454	0.9574486035	0.2708948986
455	0.9575922133	0.2704922187
456	0.9577359852	0.2701187381
457	0.9578486246	0.2697459632
458	0.9578987887	0.2696152003
459	0.9580263205	0.2693249886
460	0.9581719362	0.2690444235
461	0.9583102988	0.2686743819
462	0.9584138881	0.2684187465
463	0.9584684857	0.2681386336
464	0.958559611	0.2677780353
465	0.9586553632	0.2675282066
466	0.9587934836	0.2671969096
467	0.9588665683	0.267042822
468	0.9589562247	0.2668224435
469	0.959031536	0.2666108299
