iter	Passed	Remaining
0	224	111824
1	282	70387
2	343	56860
3	452	56054
4	543	53768
5	629	51850
6	695	48961
7	755	46451
8	822	44863
9	883	43311
10	948	42179
11	1021	41541
12	1089	40799
13	1154	40061
14	1234	39908
15	1301	39363
16	1366	38838
17	1456	38994
18	1517	38420
19	1577	37860
20	1636	37334
21	1703	37017
22	1763	36574
23	1823	36158
24	1886	35844
25	1949	35536
26	2020	35392
27	2084	35135
28	2149	34910
29	2215	34711
30	2282	34534
31	2357	34483
32	2417	34207
33	2478	33969
34	2534	33669
35	2594	33441
36	2654	33211
37	2726	33146
38	2760	32628
39	2792	32118
40	2848	31890
41	2882	31429
42	2935	31203
43	3017	31267
44	3115	31500
45	3196	31546
46	3269	31513
47	3338	31438
48	3404	31338
49	3479	31316
50	3565	31389
51	3624	31225
52	3683	31065
53	3744	30924
54	3805	30786
55	3863	30632
56	3926	30516
57	3992	30425
58	4057	30331
59	4123	30240
60	4186	30126
61	4251	30031
62	4314	29927
63	4379	29834
64	4434	29674
65	4497	29576
66	4553	29430
67	4613	29309
68	4678	29222
69	4741	29123
70	4789	28937
71	4852	28844
72	4917	28765
73	5013	28859
74	5074	28758
75	5149	28727
76	5208	28610
77	5267	28500
78	5335	28435
79	5396	28330
80	5459	28241
81	5514	28111
82	5595	28114
83	5620	27832
84	5686	27763
85	5745	27659
86	5785	27463
87	5841	27348
88	5911	27299
89	5976	27226
90	6050	27193
91	6121	27146
92	6190	27093
93	6254	27012
94	6320	26944
95	6386	26875
96	6455	26818
97	6533	26799
98	6596	26720
99	6658	26633
100	6730	26590
101	6811	26578
102	6877	26506
103	6939	26425
104	7009	26369
105	7071	26283
106	7130	26190
107	7191	26102
108	7253	26019
109	7323	25965
110	7385	25881
111	7448	25803
112	7522	25763
113	7576	25652
114	7639	25576
115	7707	25515
116	7785	25486
117	7855	25432
118	7921	25363
119	7981	25274
120	8043	25193
121	8102	25104
122	8164	25025
123	8226	24943
124	8286	24859
125	8337	24748
126	8400	24673
127	8465	24602
128	8499	24443
129	8557	24356
130	8614	24265
131	8670	24171
132	8724	24073
133	8788	24003
134	8841	23903
135	8894	23805
136	8947	23706
137	9007	23627
138	9065	23545
139	9126	23468
140	9183	23380
141	9241	23299
142	9299	23215
143	9340	23091
144	9390	22989
145	9451	22917
146	9513	22846
147	9567	22755
148	9625	22675
149	9686	22602
150	9741	22514
151	9808	22455
152	9847	22333
153	9944	22342
154	10017	22297
155	10090	22251
156	10119	22108
157	10187	22052
158	10250	21983
159	10322	21935
160	10379	21855
161	10441	21785
162	10497	21704
163	10562	21640
164	10633	21588
165	10706	21541
166	10734	21405
167	10779	21303
168	10823	21198
169	10873	21107
170	10935	21040
171	11006	20989
172	11065	20915
173	11125	20844
174	11182	20766
175	11236	20685
176	11292	20607
177	11362	20555
178	11419	20479
179	11475	20400
180	11540	20339
181	11596	20262
182	11650	20181
183	11711	20112
184	11766	20035
185	11825	19963
186	11881	19887
187	11968	19862
188	12043	19817
189	12108	19755
190	12182	19708
191	12248	19648
192	12308	19578
193	12369	19510
194	12429	19441
195	12496	19381
196	12562	19322
197	12628	19261
198	12700	19210
199	12773	19160
200	12829	19084
201	12888	19013
202	12948	18944
203	13007	18873
204	13060	18793
205	13116	18719
206	13170	18641
207	13226	18568
208	13279	18490
209	13344	18427
210	13401	18355
211	13456	18280
212	13511	18205
213	13576	18143
214	13632	18071
215	13689	17999
216	13747	17929
217	13812	17867
218	13886	17817
219	13950	17755
220	14016	17695
221	14125	17689
222	14200	17639
223	14263	17574
224	14337	17523
225	14396	17453
226	14453	17382
227	14513	17314
228	14570	17242
229	14627	17171
230	14685	17101
231	14746	17034
232	14815	16976
233	14886	16922
234	14947	16855
235	15004	16784
236	15069	16722
237	15137	16664
238	15201	16601
239	15260	16532
240	15327	16472
241	15388	16405
242	15444	16334
243	15499	16261
244	15556	16191
245	15615	16123
246	15670	16050
247	15724	15978
248	15786	15912
249	15864	15864
250	15924	15797
251	15983	15729
252	16045	15665
253	16104	15597
254	16171	15537
255	16240	15479
256	16296	15409
257	16351	15337
258	16407	15267
259	16466	15200
260	16531	15138
261	16601	15080
262	16676	15028
263	16764	14986
264	16845	14938
265	16910	14876
266	16979	14817
267	17056	14765
268	17119	14701
269	17184	14638
270	17245	14572
271	17303	14504
272	17363	14437
273	17423	14371
274	17482	14304
275	17548	14242
276	17607	14175
277	17669	14110
278	17729	14043
279	17792	13979
280	17850	13912
281	17914	13849
282	17973	13781
283	18035	13717
284	18092	13648
285	18150	13581
286	18219	13521
287	18332	13495
288	18440	13463
289	18506	13401
290	18573	13339
291	18630	13271
292	18695	13207
293	18755	13141
294	18811	13072
295	18867	13003
296	18923	12934
297	18994	12875
298	19062	12814
299	19165	12776
300	19257	12731
301	19338	12679
302	19427	12630
303	19505	12576
304	19580	12518
305	19700	12489
306	19779	12434
307	19885	12396
308	19978	12349
309	20082	12308
310	20151	12246
311	20216	12181
312	20280	12116
313	20355	12057
314	20434	12001
315	20547	11964
316	20616	11901
317	20681	11836
318	20748	11772
319	20816	11709
320	20882	11644
321	20949	11581
322	21015	11516
323	21079	11450
324	21146	11386
325	21211	11321
326	21280	11258
327	21348	11195
328	21413	11130
329	21479	11065
330	21545	11000
331	21609	10934
332	21686	10875
333	21755	10812
334	21842	10758
335	21918	10698
336	21988	10635
337	22051	10569
338	22111	10501
339	22179	10437
340	22248	10373
341	22316	10310
342	22379	10243
343	22450	10180
344	22516	10116
345	22631	10072
346	22690	10004
347	22755	9939
348	22819	9873
349	22896	9812
350	22959	9746
351	23026	9681
352	23091	9615
353	23152	9548
354	23215	9482
355	23278	9416
356	23344	9351
357	23406	9284
358	23470	9218
359	23528	9150
360	23589	9082
361	23656	9018
362	23722	8953
363	23795	8890
364	23858	8824
365	23926	8759
366	24018	8704
367	24108	8647
368	24196	8590
369	24267	8526
370	24341	8463
371	24416	8401
372	24485	8336
373	24553	8271
374	24641	8213
375	24739	8158
376	24809	8094
377	24911	8040
378	24983	7976
379	25095	7924
380	25196	7869
381	25281	7809
382	25372	7750
383	25445	7686
384	25512	7620
385	25581	7555
386	25661	7492
387	25726	7426
388	25793	7360
389	25866	7295
390	25933	7229
391	25996	7162
392	26060	7095
393	26126	7029
394	26191	6962
395	26259	6896
396	26326	6830
397	26392	6763
398	26459	6697
399	26524	6631
400	26589	6564
401	26654	6497
402	26716	6430
403	26791	6366
404	26865	6301
405	26928	6234
406	26989	6167
407	27047	6098
408	27103	6030
409	27164	5963
410	27222	5894
411	27284	5827
412	27347	5760
413	27413	5694
414	27480	5628
415	27548	5562
416	27637	5500
417	27700	5434
418	27778	5369
419	27843	5303
420	27905	5236
421	27966	5169
422	28029	5102
423	28105	5037
424	28216	4979
425	28311	4917
426	28368	4849
427	28428	4782
428	28490	4715
429	28552	4648
430	28614	4580
431	28672	4513
432	28730	4445
433	28794	4378
434	28860	4312
435	28935	4247
436	29014	4182
437	29086	4117
438	29223	4060
439	29360	4003
440	29493	3945
441	29561	3879
442	29678	3818
443	29741	3751
444	29803	3683
445	29865	3616
446	29928	3548
447	29991	3481
448	30055	3413
449	30118	3346
450	30183	3279
451	30281	3215
452	30347	3148
453	30413	3081
454	30479	3014
455	30545	2947
456	30607	2879
457	30662	2811
458	30719	2744
459	30790	2677
